Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/advise,591,0,46,49.728436910313015,19.180362000042805,168.99218299977292,28225.219966159053,15.12456146429881,0.0,46,53,59,62,73,88,120,140,170,170,170
POST,/api/advise/whatif,559,0,49,52.89004670484115,18.119668000053935,155.0990149999052,2695.001788908766,14.305634278414612,0.0,49,57,62,66,75,92,110,140,160,160,160
POST,/api/chat/ask,2290,0,120.0,248.70382823624357,29.81976399996711,4483.122214000105,3275.196506550218,58.60447673983803,0.0,120,160,200,240,550,1000,1600,2100,4300,4500,4500
GET,/api/courses,1207,0,21,23.311036971003176,2.206830999966769,138.07605700003478,3263.0,30.888909792569653,0.0,21,25,28,31,38,45,58,78,110,140,140
GET,/api/courses/{code},1718,0,21,23.05648131839191,2.6104749999831256,135.95023900006709,1795.919674039581,43.96615329215796,0.0,21,25,28,30,36,42,59,97,120,140,140
GET,/api/health/live,547,0,20,22.771520146252975,3.5477719998198154,106.17371299986189,15.0,13.998536583708036,0.0,20,25,28,30,38,43,55,92,110,110,110
POST,/api/plan,1108,0,22,24.936848970214044,4.710090999651584,120.67548499999248,521.7879061371841,28.35535381124041,0.0,22,27,30,33,40,46,57,97,120,120,120
POST,/api/timetable,1132,0,27,29.398210867492537,8.216975000323146,141.21690000001763,2047.690812720848,28.96954920065356,0.0,27,32,35,38,45,53,67,81,140,140,140
,Aggregated,9152,0,31,84.09080970203213,2.206830999966769,4483.122214000105,3891.6055506993007,234.21317516288107,0.0,31,47,70,88,140,240,700,1100,2800,4500,4500
