Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/advise,166,0,11,14.502372921702793,7.8427510002256895,76.30110700029036,28223.222891566264,2.8103527816356446,0.0,11,13,15,16,22,36,44,48,76,76,76
POST,/api/advise/whatif,172,0,15,18.15809401741823,11.535899000136851,111.63081299991973,2694.9593023255816,2.9119317978393426,0.0,15,17,19,20,25,33,44,63,110,110,110
POST,/api/chat/ask,657,0,9,13.233235933040282,5.378049000228202,131.82852099998854,3249.72602739726,11.12290227430493,0.0,9,11,13,14,21,33,53,77,130,130,130
GET,/api/courses,335,0,3,4.569895576129165,1.6205749998334795,109.69074000013279,3263.0,5.671495071373139,0.0,3,3,4,4,6,13,21,25,110,110,110
GET,/api/courses/{code},541,0,3,4.22341065250159,1.5956209999785642,31.61410899974726,1815.6598890942698,9.15904129436677,0.0,3,4,4,4,6,10,24,28,32,32,32
GET,/api/health/live,170,0,3,4.29339485296944,1.2567089997901348,102.13033199988786,15.0,2.8780721257714434,0.0,3,3,3,4,7,12,21,27,100,100,100
POST,/api/plan,355,0,3,5.289474225345414,1.9680020000123477,113.6814480000794,523.7774647887323,6.0100917920521315,0.0,3,4,4,5,7,12,24,30,110,110,110
POST,/api/timetable,366,0,4,6.526644199458317,2.0998790000703593,118.00918399967486,2005.7103825136612,6.196319988425579,0.0,4,4,5,6,12,19,32,40,120,120,120
,Aggregated,2762,0,4,8.34069316329358,1.2567089997901348,131.82852099998854,3722.5257060101376,46.76020712576898,0.0,4,9,10,12,16,22,37,47,130,130,130
